id,name,model,dateOfCreation,color,price
33,Honda,F-150,2022-04-13,Beige,22181.1
34,Toyota,Corolla,2019-02-17,MediumBlue,62508.61
35,Honda,Silverado,2013-02-26,LimeGreen,79409.07
36,Mercedes-Benz,Corolla,2014-07-10,DeepSkyBlue,9058.57
37,Ford,Model S,2006-10-21,FloralWhite,32169.98
38,Ford,Corolla,1996-12-07,PaleVioletRed,6231.39
39,BMW,A4,2018-10-20,GreenYellow,31438.09
40,Chevrolet,Corolla,2003-12-25,LemonChiffon,10552.12
41,Nissan,A4,2019-12-03,LightSteelBlue,77504.71
42,BMW,Altima,2017-07-12,GoldenRod,20552.74
43,BMW,A4,1997-04-13,Chartreuse,38370.05
44,Mercedes-Benz,F-150,2004-03-22,Fuchsia,49650.21
45,Chevrolet,F-150,2014-07-30,MediumBlue,67527.85
46,Toyota,C-Class,2011-05-06,DarkViolet,55422.62
47,Toyota,3 Series,1996-07-08,Azure,70202.5
48,Toyota,Altima,1997-11-15,LightGoldenRodYellow,53949.68
49,Tesla,Silverado,1998-02-04,AntiqueWhite,79854.5
50,Volkswagen,Civic,1999-09-28,DarkOliveGreen,27327.82
51,Ford,Civic,2013-12-13,SaddleBrown,46582.74
52,Audi,F-150,1999-12-13,LightBlue,60095.98
53,Ford,C-Class,2004-11-30,Indigo,13173.39
54,BMW,C-Class,2018-09-25,Brown,52003.88
55,Nissan,A4,2019-05-09,DodgerBlue,14879.23
56,Ford,C-Class,1998-10-17,Aqua,59468.78
57,BMW,Altima,2011-11-08,LightCyan,32306.15
58,Volkswagen,F-150,2022-11-27,DarkGreen,43540.46
59,Toyota,Silverado,1996-04-09,Ivory,34097.1
60,BMW,Silverado,2001-07-24,DarkSlateBlue,68697.39
61,BMW,Silverado,1997-12-06,HotPink,48011.07
62,Honda,Altima,2009-12-09,DarkKhaki,41352.84
63,Toyota,Model S,1996-02-22,Navy,44776.73
64,Tesla,C-Class,2006-02-20,LavenderBlush,48539.04
65,Ford,Altima,2002-03-09,DimGray,5982.96
66,Tesla,Model S,2022-05-24,Yellow,50332.91
67,Nissan,Model S,1995-09-05,PaleTurquoise,59601.39
68,Mercedes-Benz,Altima,2009-03-21,SeaGreen,67906.83
69,Audi,C-Class,2012-12-29,LawnGreen,32005.25
70,Volkswagen,Corolla,1999-07-25,DarkCyan,76629.16
71,Ford,3 Series,2002-08-29,OliveDrab,28286.57
72,Tesla,A4,1999-07-14,DarkOrange,33185.6
73,Chevrolet,A4,2000-06-12,Coral,8041.48
74,Nissan,C-Class,1999-06-08,Aqua,24014.7
75,Chevrolet,Civic,1999-12-24,DarkTurquoise,36777.06
76,Chevrolet,Civic,1999-07-29,PeachPuff,15726.7
77,Toyota,F-150,2008-09-17,Thistle,66071.66
78,Honda,Civic,2005-06-19,DarkOrange,7423.42
79,Mercedes-Benz,Model S,1995-04-01,White,58780.0
80,Ford,Model S,2007-11-22,OldLace,69604.68
81,Audi,3 Series,1999-04-27,Wheat,77073.88
82,Ford,F-150,2010-04-03,MediumOrchid,74088.66
83,Audi,Corolla,1994-09-25,SpringGreen,29876.27
84,Nissan,3 Series,1999-04-21,Indigo,19225.03
85,Ford,Model S,2023-10-29,Blue,19651.32
86,BMW,A4,1994-03-06,MediumSlateBlue,62682.44
87,Audi,Model S,2023-11-25,LightSlateGray,52410.46
88,Ford,Golf,2006-01-16,Tan,17727.94
89,Volkswagen,3 Series,2023-02-21,PaleTurquoise,61013.24
90,Ford,Golf,2010-04-28,Linen,50388.95
91,Volkswagen,Civic,2014-09-10,Magenta,75567.14
92,Honda,Model S,2014-10-03,MediumSeaGreen,79762.9
93,Mercedes-Benz,Golf,2004-10-02,LightGoldenRodYellow,61190.59
94,Audi,A4,2023-09-15,LemonChiffon,77511.01
95,Audi,A4,2023-02-10,Linen,44706.53
96,Mercedes-Benz,C-Class,2013-11-28,SkyBlue,70168.36
97,Toyota,Model S,2016-11-25,NavajoWhite,42520.64
98,Honda,Civic,2020-04-25,DarkSeaGreen,42810.39
99,Volkswagen,C-Class,2004-07-13,Snow,58278.03
100,Tesla,Corolla,2010-10-21,DarkSlateBlue,55568.41
101,Volkswagen,F-150,1994-06-16,DarkOrange,74193.83
102,BMW,Civic,2000-06-13,LightCoral,5207.64
103,Toyota,Golf,2004-08-04,CornflowerBlue,35386.03
104,Nissan,Civic,1994-12-06,Sienna,39717.36
105,Ford,Silverado,2017-09-22,Lime,61509.88
106,Honda,F-150,2004-01-17,Pink,57538.42
107,Volkswagen,Silverado,1996-10-23,OrangeRed,24733.46
108,Tesla,Model S,2022-02-09,FireBrick,74400.67
109,Chevrolet,Altima,2023-03-03,Khaki,5198.44
110,Toyota,Corolla,1998-01-20,Beige,73548.98
111,BMW,Model S,2021-08-28,SandyBrown,72862.15
112,Ford,Golf,2007-09-29,SlateBlue,77724.3
113,Audi,C-Class,2021-02-22,LightSlateGray,53992.32
114,Ford,3 Series,2001-11-07,PeachPuff,13666.78
115,Chevrolet,F-150,2021-10-15,PaleGreen,51629.74
116,Honda,Golf,2008-04-13,Navy,11328.41
117,Nissan,C-Class,2005-02-14,Aquamarine,53223.6
118,Audi,3 Series,2014-05-05,LemonChiffon,43380.69
119,Chevrolet,F-150,2019-11-29,Turquoise,22970.88
120,Volkswagen,A4,2022-10-31,MintCream,61685.97
121,Nissan,Golf,2010-04-06,DarkGreen,42959.25
122,Nissan,C-Class,2003-02-16,DarkSeaGreen,49452.17
123,Audi,Model S,2008-09-18,Magenta,11612.51
124,Volkswagen,3 Series,2014-07-25,DarkOrange,30121.51
125,Mercedes-Benz,F-150,2000-07-20,DeepSkyBlue,71652.21
126,Volkswagen,Corolla,2019-07-31,RosyBrown,21375.09
127,Volkswagen,Silverado,2006-06-22,Aquamarine,53406.91
128,Audi,C-Class,2001-11-23,AliceBlue,21582.72
129,Mercedes-Benz,Model S,2000-02-27,Indigo,8997.54
130,Audi,Silverado,2017-09-02,Snow,70947.54
131,Tesla,Silverado,1996-11-16,Thistle,46198.3
132,BMW,A4,2013-08-27,Coral,31068.78
133,BMW,C-Class,1995-08-07,LightSkyBlue,14625.97
134,Tesla,Altima,2009-08-16,Beige,26203.06
135,Mercedes-Benz,Civic,1998-07-09,HoneyDew,18272.53
136,Audi,Silverado,2000-10-09,PaleGoldenRod,11548.91
137,Nissan,Silverado,2010-06-14,LightCyan,67165.04
138,Volkswagen,F-150,2002-11-16,Silver,40556.72
139,Ford,Altima,2010-04-12,MediumPurple,59073.1
140,Toyota,Golf,2014-08-31,LightSteelBlue,77100.83
141,Honda,A4,2003-12-15,OrangeRed,10393.04
142,Volkswagen,Altima,2023-08-02,PaleGreen,43383.34
143,Nissan,Civic,1996-04-16,LavenderBlush,8511.81
144,Audi,Altima,2008-03-26,Orange,45456.72
145,Tesla,A4,2001-07-20,DarkTurquoise,5606.89
146,Mercedes-Benz,Golf,2003-10-13,Indigo,5480.79
147,BMW,Corolla,2021-12-25,RosyBrown,33774.23
148,Tesla,Corolla,2021-05-01,MediumSpringGreen,11914.36
149,Honda,Altima,2002-03-11,Wheat,53552.92
150,Ford,Model S,1997-10-22,DarkOrchid,40134.36
151,BMW,3 Series,2016-04-29,Sienna,78268.65
152,Mercedes-Benz,Altima,2022-11-13,DarkCyan,45234.29
153,Volkswagen,C-Class,2003-03-02,Snow,33008.86
154,Honda,A4,2019-04-01,NavajoWhite,27518.49
155,Ford,Altima,2005-06-19,Red,49645.26
156,Audi,F-150,2009-11-12,PaleGoldenRod,42507.69
157,Ford,Altima,2001-05-07,MediumSpringGreen,48751.99
158,Ford,F-150,2022-05-13,Coral,60965.27
159,Toyota,Civic,2017-05-22,Pink,72673.86
160,Audi,Altima,2019-07-11,Sienna,21939.33
161,Toyota,Golf,2009-07-30,DarkBlue,19376.59
162,Tesla,Civic,2013-06-18,Cyan,14593.03
163,Toyota,C-Class,2018-11-04,MediumAquaMarine,58201.39
164,Honda,Civic,2008-08-21,LightSlateGray,8523.7
165,Audi,3 Series,2021-02-13,Chartreuse,58008.32
166,Tesla,Altima,2003-12-18,Navy,61607.12
167,Chevrolet,Civic,2011-07-21,BlanchedAlmond,25322.12
168,Ford,F-150,2000-04-27,DarkGray,16751.86
169,BMW,Silverado,1999-05-21,Thistle,15081.31
170,Toyota,Corolla,1998-11-07,MediumSeaGreen,7876.39
171,Audi,Altima,2021-11-14,ForestGreen,17854.26
172,Volkswagen,3 Series,1999-01-31,Chartreuse,53406.48
173,Nissan,F-150,2012-05-31,NavajoWhite,43816.75
174,Audi,Silverado,2001-04-17,LightCoral,40321.55
175,Audi,Corolla,2023-12-28,DarkSlateGray,26782.6
176,BMW,Civic,2010-12-05,LightSteelBlue,50996.8
177,Honda,Corolla,2023-05-31,Fuchsia,7347.87
178,BMW,Civic,1997-11-15,PeachPuff,77671.19
179,Audi,Corolla,2001-09-29,LightPink,21826.77
180,Ford,Golf,2006-04-23,PaleTurquoise,56298.57
181,Tesla,Golf,1995-01-05,FireBrick,79255.26
182,Volkswagen,F-150,2020-05-03,LavenderBlush,17996.82
183,Ford,Civic,2009-12-30,Gold,50930.34
184,Ford,F-150,2012-12-10,MediumSeaGreen,38100.8
185,Toyota,Civic,2008-06-23,DarkSeaGreen,31920.67
186,Ford,Altima,1995-07-25,PapayaWhip,66369.66
187,Tesla,Civic,2000-09-22,SandyBrown,15494.78
188,Volkswagen,3 Series,2001-06-04,LavenderBlush,33090.22
189,Honda,Model S,2000-09-24,MediumOrchid,61612.65
190,Toyota,Civic,2011-10-07,Lavender,30920.33
191,BMW,F-150,1997-04-02,Chocolate,61033.75
192,Ford,Corolla,1994-07-03,Brown,62109.65
193,Honda,Civic,2012-01-06,OldLace,20911.02
194,Volkswagen,F-150,2000-05-20,Khaki,34099.61
195,Audi,C-Class,2005-10-30,Wheat,57995.42
196,Ford,F-150,2013-10-18,Aquamarine,33960.05
197,Tesla,Golf,1998-04-27,LawnGreen,58866.02
198,Honda,C-Class,1997-06-04,MediumAquaMarine,79213.17
199,Ford,3 Series,2013-09-18,SaddleBrown,48734.89
200,Nissan,Golf,2012-05-09,MediumPurple,55365.66
201,Ford,A4,2004-06-13,MediumTurquoise,30236.76
202,Nissan,C-Class,2014-11-14,DarkSalmon,37049.78
203,Mercedes-Benz,C-Class,2002-08-02,DarkRed,79517.82
204,Honda,Corolla,2018-07-03,DimGray,24275.25
205,Tesla,Silverado,2018-09-15,MediumSeaGreen,37448.95
206,Audi,Model S,1996-01-20,SandyBrown,29553.27
207,BMW,Civic,2009-07-10,Moccasin,64314.68
208,Ford,Altima,2010-11-03,DarkBlue,43687.3
209,Ford,F-150,2021-11-24,Salmon,65297.31
210,Toyota,Altima,2023-08-01,RosyBrown,34991.64
211,Honda,Altima,2017-07-17,CadetBlue,31794.1
212,Volkswagen,F-150,1997-12-19,YellowGreen,26442.45
213,Toyota,F-150,2000-06-19,IndianRed,38383.56
214,Chevrolet,Golf,2013-06-24,Violet,64543.22
215,Audi,F-150,2007-11-28,PapayaWhip,71684.9
216,Volkswagen,C-Class,1997-02-18,Brown,14937.37
217,Volkswagen,Corolla,2021-06-08,MediumAquaMarine,73565.76
218,Ford,Corolla,1995-02-05,Moccasin,40483.89
219,Mercedes-Benz,3 Series,1996-02-07,Indigo,6303.01
220,Honda,Corolla,2017-03-17,DarkBlue,73416.05
221,Tesla,F-150,2018-10-27,Coral,15256.58
222,BMW,3 Series,2024-01-01,Snow,60413.68
223,BMW,F-150,2005-07-26,SeaShell,25581.94
224,Nissan,F-150,2023-04-24,PowderBlue,51814.38
225,Nissan,F-150,1994-01-11,Beige,44925.14
226,Mercedes-Benz,3 Series,2019-09-06,Beige,10477.23
227,Chevrolet,Model S,1996-05-08,Maroon,15432.82
228,Chevrolet,F-150,2012-11-14,Aquamarine,64884.9
229,Nissan,3 Series,1995-05-19,IndianRed,65683.68
230,Mercedes-Benz,3 Series,2011-04-27,OrangeRed,13858.68
231,Honda,Civic,2005-08-28,Snow,72283.74
232,Tesla,Silverado,1999-09-14,Olive,73747.28
233,Ford,C-Class,2013-05-23,Chartreuse,28500.89
234,Tesla,C-Class,2004-11-27,Coral,55033.74
235,Toyota,Model S,1999-06-05,Orange,43833.96
236,Chevrolet,Golf,2003-11-26,Orange,31217.57
237,BMW,Golf,2008-10-26,DarkKhaki,57018.85
238,Tesla,3 Series,2021-01-07,Magenta,5741.55
239,Honda,Altima,1997-03-30,MediumSlateBlue,26391.97
240,Audi,C-Class,2000-09-29,SaddleBrown,10665.69
241,Tesla,Corolla,2017-01-30,AntiqueWhite,18883.78
242,Chevrolet,Civic,1999-08-14,MediumBlue,67149.22
243,Toyota,Golf,1998-05-14,Teal,6878.18
244,Audi,Golf,2000-04-21,LimeGreen,41904.38
245,Toyota,3 Series,1998-09-30,Tomato,59811.04
246,BMW,Corolla,2016-04-11,PaleGreen,43663.02
247,Mercedes-Benz,C-Class,2012-01-14,DarkViolet,14362.47
248,Audi,Model S,1998-12-25,LemonChiffon,48107.71
249,Nissan,Silverado,2023-03-17,PapayaWhip,6931.99
250,Mercedes-Benz,A4,2004-06-13,Tomato,19548.73
251,Ford,Civic,2023-01-09,Maroon,26757.99
252,Audi,C-Class,2016-01-02,Bisque,78249.99
253,Mercedes-Benz,Golf,2011-06-07,SaddleBrown,27040.1
254,Chevrolet,3 Series,2018-02-03,AntiqueWhite,5554.21
255,Chevrolet,F-150,2006-05-20,DarkGreen,9960.88
256,Nissan,Silverado,2022-05-30,DarkGoldenRod,15443.6
257,Ford,F-150,2002-06-23,ForestGreen,25316.24
258,BMW,Golf,1995-07-29,Peru,36690.33
259,Nissan,Civic,2012-11-29,LightSlateGray,36817.21
260,BMW,C-Class,2009-05-10,OrangeRed,8489.27
261,Mercedes-Benz,Model S,2011-05-31,SlateBlue,8789.76
262,Tesla,Model S,2019-06-08,SteelBlue,55490.68
263,Chevrolet,Civic,1994-01-31,SkyBlue,50668.81
264,Tesla,3 Series,2013-11-05,Cyan,25075.96
265,BMW,A4,2021-04-15,MediumTurquoise,66011.66
266,Tesla,Civic,2011-01-18,LightGray,58976.27
267,Audi,3 Series,1997-07-30,DarkViolet,10410.57
268,Honda,3 Series,2006-06-08,PaleGreen,49430.28
269,Volkswagen,3 Series,1995-08-26,PaleGreen,70092.07
270,Nissan,Silverado,2003-06-21,SeaGreen,45025.83
271,Honda,F-150,1999-01-25,DarkOrchid,68328.89
272,Tesla,Model S,2013-04-27,GhostWhite,73783.63
273,Chevrolet,Model S,2019-11-01,PaleGoldenRod,61327.43
274,Chevrolet,A4,2017-04-08,MintCream,17995.43
275,Honda,Altima,2021-10-19,MediumSlateBlue,10807.05
276,Mercedes-Benz,Model S,2022-02-08,Chartreuse,59400.38
277,Chevrolet,Model S,2015-08-10,LavenderBlush,13147.53
278,Honda,3 Series,2022-10-31,LightSlateGray,53473.88
279,Volkswagen,Corolla,2017-08-30,SeaGreen,78406.18
280,Toyota,Civic,2022-07-28,Wheat,31734.02
281,Chevrolet,C-Class,1994-03-13,DarkSlateGray,64711.84
282,Audi,F-150,2000-05-12,MediumSlateBlue,63340.71
283,Tesla,Golf,2006-02-24,Orange,35732.91
284,Audi,Golf,2006-01-16,LightCoral,30227.17
285,Mercedes-Benz,Civic,2014-05-30,Peru,13046.42
286,Toyota,F-150,2018-07-25,DimGray,79646.2
287,Chevrolet,Golf,2002-04-26,SaddleBrown,43204.69
288,BMW,C-Class,2012-09-06,Orange,54501.26
289,BMW,Model S,2022-09-01,SlateGray,28789.75
290,Audi,F-150,2003-08-27,MidnightBlue,29489.61
291,Honda,Golf,2017-09-06,FloralWhite,39445.87
292,Tesla,Golf,2003-09-25,MediumBlue,38532.54
293,Toyota,Corolla,2012-10-16,Crimson,6755.56
294,BMW,Corolla,2021-11-24,BlueViolet,33753.3
295,Chevrolet,3 Series,2003-08-05,OrangeRed,65400.3
296,Nissan,Silverado,2001-11-25,DarkSlateBlue,68485.79
297,Mercedes-Benz,Model S,1999-11-10,Gold,60716.21
298,Honda,F-150,2005-06-18,PaleTurquoise,73656.08
299,Chevrolet,Silverado,2004-06-21,Khaki,65011.74
300,Honda,Model S,2005-09-07,Aquamarine,30772.02
301,Honda,Altima,2014-01-29,OrangeRed,41718.41
302,Mercedes-Benz,3 Series,2015-10-31,Teal,42569.5
303,Honda,A4,2020-10-12,PowderBlue,39407.19
304,Volkswagen,F-150,2010-03-02,DarkSeaGreen,16094.09
305,Nissan,Corolla,1994-10-01,SkyBlue,71241.86
306,Nissan,Silverado,2022-06-09,SpringGreen,50061.06
307,Honda,A4,2009-07-21,DarkGoldenRod,59379.7
308,Chevrolet,Altima,1999-03-07,Navy,68724.96
309,Toyota,Model S,2005-07-18,FloralWhite,68045.28
310,Ford,Model S,1999-10-02,Bisque,39831.37
311,Chevrolet,3 Series,2000-08-05,DarkGoldenRod,34867.63
312,Honda,Model S,2014-04-03,LightCyan,30035.01
313,Chevrolet,Altima,2010-12-07,LimeGreen,22047.3
314,Honda,Altima,2013-03-17,Blue,74105.19
315,Chevrolet,F-150,2002-09-11,Pink,62675.93
316,Audi,C-Class,2015-10-14,DarkSalmon,53480.61
317,Tesla,Model S,2010-10-07,DarkKhaki,31633.07
318,Mercedes-Benz,Civic,2022-04-16,LightBlue,22186.14
319,Honda,Civic,2004-06-30,MediumTurquoise,69368.38
320,Ford,Model S,2014-03-20,CornflowerBlue,11497.66
321,Volkswagen,A4,2021-04-26,LightYellow,57736.67
322,Ford,Corolla,2015-12-04,GreenYellow,63228.18
323,Nissan,Corolla,1997-01-16,Gray,44086.94
324,Chevrolet,Silverado,2002-07-13,Lime,31214.82
325,Mercedes-Benz,3 Series,1994-06-23,White,74983.04
326,BMW,3 Series,1997-04-11,Fuchsia,64453.38
327,BMW,Corolla,2013-09-26,DarkSalmon,29508.4
328,Ford,C-Class,2001-12-07,Aquamarine,79770.82
329,Honda,Golf,2007-03-13,LightBlue,34807.73
330,Audi,Civic,2018-09-03,Maroon,79932.73
331,Tesla,Corolla,2006-08-11,CadetBlue,72445.66
332,Audi,Model S,1995-07-31,MistyRose,72289.4
333,Mercedes-Benz,Golf,2003-02-04,HotPink,18013.73
334,Mercedes-Benz,A4,2021-06-13,Gainsboro,76713.63
335,Nissan,F-150,2022-12-19,Cyan,24482.18
336,Tesla,3 Series,2014-02-15,SteelBlue,54639.77
337,Volkswagen,A4,2015-09-12,DarkBlue,57702.54
338,Volkswagen,C-Class,2020-10-31,GhostWhite,58099.27
339,Chevrolet,Golf,2004-09-22,White,16095.4
340,Nissan,Golf,2001-08-16,Khaki,64249.9
341,Volkswagen,Civic,2015-03-28,Gainsboro,19164.09
342,Toyota,Silverado,2012-04-24,DarkSlateBlue,22720.64
343,Volkswagen,3 Series,2007-08-11,Silver,41414.13
344,Volkswagen,F-150,1995-04-26,MintCream,26389.96
345,Audi,Golf,2016-02-13,MediumTurquoise,78170.92
346,Tesla,Altima,2010-10-02,Maroon,8396.92
347,Tesla,Model S,2003-11-30,LightCoral,23237.26
348,Tesla,Civic,2004-02-17,SlateGray,31997.76
349,Audi,F-150,2013-10-08,MediumSeaGreen,33130.25
350,Toyota,Model S,2011-05-19,Sienna,11718.84
351,Chevrolet,Model S,2011-06-20,MediumAquaMarine,18787.14
352,Honda,Corolla,2019-01-26,Purple,37112.77
353,Audi,Altima,1994-04-17,DarkKhaki,29852.19
354,Nissan,Silverado,2013-09-07,DarkOliveGreen,69363.12
355,Audi,Altima,2017-05-20,WhiteSmoke,15993.85
356,Chevrolet,Golf,2023-03-06,Olive,10534.97
357,Volkswagen,Corolla,2005-04-09,LavenderBlush,40883.39
358,Nissan,3 Series,2019-02-24,MediumOrchid,77014.82
359,Audi,Golf,2005-10-27,Orchid,72766.47
360,Toyota,A4,2007-02-13,DarkMagenta,55048.45
361,Volkswagen,Corolla,2002-08-03,DarkBlue,49264.81
362,Ford,F-150,2018-03-25,Aquamarine,52361.19
363,Chevrolet,A4,1994-08-04,SlateGray,34619.48
364,Nissan,C-Class,2014-08-12,LightBlue,77838.46
365,Nissan,Golf,2020-04-16,Tan,75205.33
366,BMW,Civic,2008-01-01,PaleVioletRed,68682.71
367,Honda,C-Class,2008-09-16,DarkOliveGreen,23108.11
368,Volkswagen,3 Series,2010-11-24,DarkOliveGreen,68975.71
369,Mercedes-Benz,Civic,2016-01-19,PowderBlue,62189.59
370,Ford,C-Class,2004-04-24,Yellow,61507.59
371,Audi,Altima,1995-11-20,MediumVioletRed,69037.12
372,Honda,F-150,2015-10-06,SaddleBrown,8576.78
373,BMW,Model S,1995-07-01,GhostWhite,22572.58
374,Volkswagen,F-150,2010-03-19,Red,24406.86
375,Chevrolet,Silverado,2013-12-08,MediumAquaMarine,33406.62
376,Honda,Civic,2014-11-11,LightBlue,55662.99
377,Tesla,A4,1997-11-10,Blue,16216.77
378,Mercedes-Benz,Golf,2000-11-21,Salmon,47337.43
379,Tesla,Civic,2010-04-05,HoneyDew,8028.96
380,Tesla,C-Class,2009-01-19,LightGoldenRodYellow,31953.58
381,Chevrolet,Altima,2020-10-17,Black,26134.49
382,Ford,Golf,2023-08-05,DarkSeaGreen,22119.55
383,Chevrolet,C-Class,2001-11-26,MediumSlateBlue,25737.56
384,Nissan,Altima,2008-06-25,DarkTurquoise,64990.87
385,Chevrolet,F-150,1995-12-08,DarkSlateGray,63143.66
386,Tesla,Civic,2010-07-09,Purple,32280.81
387,Mercedes-Benz,Civic,1998-05-19,Peru,48973.52
388,Volkswagen,Civic,2017-09-30,Lime,79306.7
389,Chevrolet,F-150,1995-08-24,OldLace,53651.09
390,Nissan,Golf,2006-03-16,Coral,15003.31
391,Mercedes-Benz,Silverado,2021-06-21,PeachPuff,11904.29
392,Audi,C-Class,2008-05-12,LightBlue,31053.68
393,Ford,Model S,1994-09-11,PeachPuff,24144.67
394,Mercedes-Benz,F-150,2008-04-21,MidnightBlue,68449.43
395,Honda,Silverado,2014-05-23,MintCream,45331.37
396,Chevrolet,Model S,1998-05-24,MintCream,57632.45
397,Toyota,Silverado,2005-12-28,CornflowerBlue,68541.78
398,Mercedes-Benz,C-Class,2006-01-19,DeepSkyBlue,9862.23
399,Chevrolet,Civic,2020-10-25,Snow,27937.2
400,Nissan,F-150,2001-10-22,Blue,19203.85
401,Mercedes-Benz,A4,2011-03-21,LightGoldenRodYellow,35222.11
402,BMW,Corolla,1999-01-26,LightBlue,42151.88
403,Tesla,F-150,2022-11-04,LightYellow,79903.81
404,Tesla,F-150,2016-04-12,LightSalmon,16219.36
405,Toyota,Silverado,2020-11-20,CornflowerBlue,67001.95
406,Tesla,Golf,2018-06-30,MediumPurple,26419.83
407,Volkswagen,Altima,2018-09-13,Azure,20252.26
408,Tesla,3 Series,2011-09-29,CornflowerBlue,66223.68
409,Nissan,A4,2014-02-09,Thistle,65380.25
410,Volkswagen,Model S,2013-02-03,SlateGray,76001.55
411,Mercedes-Benz,A4,1995-06-18,LemonChiffon,9660.91
412,Nissan,Silverado,1994-11-01,SlateGray,12426.9
413,BMW,Civic,2002-08-09,Chartreuse,65870.93
414,Ford,C-Class,2013-06-02,Wheat,6382.44
415,Volkswagen,Corolla,2006-12-11,LawnGreen,40249.32
416,Mercedes-Benz,Corolla,2013-08-19,ForestGreen,33141.29
417,Toyota,3 Series,2006-08-06,DarkRed,19978.89
418,Nissan,F-150,1995-12-18,PeachPuff,42603.53
419,Audi,Model S,2018-12-22,Black,48770.69
420,Tesla,A4,2001-08-16,DarkSlateBlue,18803.31
421,Audi,Silverado,1995-12-16,Brown,67621.11
422,Tesla,Altima,2013-07-13,LightGoldenRodYellow,10825.3
423,BMW,F-150,2013-11-21,DeepPink,71638.8
424,BMW,Civic,2001-12-19,DarkKhaki,60411.57
425,Volkswagen,Model S,2009-08-24,MediumTurquoise,73537.06
426,Mercedes-Benz,Altima,2016-08-15,Peru,32520.97
427,Tesla,F-150,1999-12-29,DarkOrange,49107.85
428,Volkswagen,Silverado,2005-12-29,Snow,52417.73
429,Audi,Model S,2002-10-23,RosyBrown,59261.72
430,Nissan,Golf,2013-07-06,DarkOrange,78896.29
431,Tesla,Golf,2010-09-12,BlanchedAlmond,64971.02
432,Honda,Golf,1997-11-29,White,6178.91
433,BMW,C-Class,2006-04-02,LightSalmon,71706.92
434,Honda,A4,2010-03-30,GreenYellow,5251.98
435,Toyota,F-150,1998-03-01,LimeGreen,61368.39
436,Mercedes-Benz,Corolla,1994-10-12,PaleGoldenRod,16687.55
437,BMW,Corolla,1997-08-11,DimGray,64849.17
438,Tesla,Model S,2000-07-04,Red,15596.66
439,Audi,Altima,2003-08-24,LightGoldenRodYellow,65581.99
440,Volkswagen,Silverado,2017-08-29,Sienna,48487.42
441,Mercedes-Benz,A4,2015-08-25,LawnGreen,70720.78
442,Mercedes-Benz,Golf,1999-10-26,BurlyWood,18241.68
443,Ford,Model S,2008-07-15,Olive,12493.9
444,Volkswagen,Model S,1994-07-21,CadetBlue,39527.17
445,BMW,Altima,1997-01-03,LightSteelBlue,21487.64
446,Honda,C-Class,2004-10-13,LimeGreen,60334.87
447,Volkswagen,Silverado,1999-12-21,MediumAquaMarine,17542.18
448,Mercedes-Benz,Altima,2015-03-16,DimGray,51160.63
449,Tesla,A4,2018-08-03,Lavender,66011.28
450,Nissan,Silverado,2019-03-09,FloralWhite,29266.11
451,Chevrolet,C-Class,2022-02-15,BlueViolet,56433.19
452,Volkswagen,Civic,2001-01-17,GoldenRod,16862.0
453,Nissan,Civic,1999-03-02,Pink,63784.86
454,Toyota,Corolla,1994-09-19,DimGray,40576.36
455,Honda,C-Class,1998-08-13,YellowGreen,43174.44
456,Chevrolet,C-Class,1996-07-26,PaleGreen,7056.97
457,BMW,3 Series,2018-04-25,NavajoWhite,41616.25
